target,benchmark_mode,operation,batch,ms,ops_s,path,log
aigis1,independent,Keygen,32768,32.023,1023273,independent-opt,aigis1_amd_independent_b32768.log
aigis1,independent,Sign,32768,425.459,77018,decomp-pipeline,aigis1_amd_independent_b32768.log
aigis1,independent,Verify,16384,2.105,7781688,,aigis1_amd_independent_b16384.log
aigis1,paper,Keygen,32768,16.474,1989031,paper-shared-rhoA,aigis1_amd_paper_b32768.log
aigis1,paper,Sign,32768,486.455,67361,decomp-pipeline,aigis1_amd_paper_b32768.log
aigis1,paper,Verify,16384,2.120,7728283,,aigis1_amd_paper_b16384.log
aigis2,independent,Keygen,32768,42.804,765542,independent-old,aigis2_amd_independent_b32768.log
aigis2,independent,Sign,16384,422.524,38776,decomp-pipeline,aigis2_amd_independent_b16384.log
aigis2,independent,Verify,8192,1.285,6375467,,aigis2_amd_independent_b8192.log
aigis2,paper,Keygen,16384,9.460,1731964,paper-shared-rhoA,aigis2_amd_paper_b16384.log
aigis2,paper,Sign,16384,346.621,47268,decomp-pipeline,aigis2_amd_paper_b16384.log
aigis2,paper,Verify,8192,1.298,6309734,,aigis2_amd_paper_b8192.log
aigis3,independent,Keygen,32768,55.544,589950,independent-old,aigis3_amd_independent_b32768.log
aigis3,independent,Sign,16384,391.438,41856,decomp-pipeline,aigis3_amd_independent_b16384.log
aigis3,independent,Verify,8192,1.648,4970454,,aigis3_amd_independent_b8192.log
aigis3,paper,Keygen,32768,22.033,1487207,paper-shared-rhoA,aigis3_amd_paper_b32768.log
aigis3,paper,Sign,32768,798.910,41016,decomp-pipeline,aigis3_amd_paper_b32768.log
aigis3,paper,Verify,8192,1.668,4911425,,aigis3_amd_paper_b8192.log
mldsa44,independent,Keygen,32768,34.328,954556,independent-old,mldsa44_amd_independent_b32768.log
mldsa44,independent,Sign,32768,299.174,109528,decomp-pipeline,mldsa44_amd_independent_b32768.log
mldsa44,independent,Verify,8192,1.211,6763774,,mldsa44_amd_independent_b8192.log
mldsa44,paper,Keygen,16384,8.459,1936824,paper-shared-rhoA,mldsa44_amd_paper_b16384.log
mldsa44,paper,Sign,16384,180.552,90744,decomp-pipeline,mldsa44_amd_paper_b16384.log
mldsa44,paper,Verify,8192,1.213,6753549,,mldsa44_amd_paper_b8192.log
mldsa65,independent,Keygen,32768,53.505,612429,independent-old,mldsa65_amd_independent_b32768.log
mldsa65,independent,Sign,16384,257.458,63638,decomp-pipeline,mldsa65_amd_independent_b16384.log
mldsa65,independent,Verify,8192,1.734,4724442,,mldsa65_amd_independent_b8192.log
mldsa65,paper,Keygen,16384,10.908,1502057,paper-shared-rhoA,mldsa65_amd_paper_b16384.log
mldsa65,paper,Sign,16384,262.670,62375,decomp-pipeline,mldsa65_amd_paper_b16384.log
mldsa65,paper,Verify,8192,1.725,4749933,,mldsa65_amd_paper_b8192.log
mldsa87,independent,Keygen,32768,73.646,444940,independent-opt,mldsa87_amd_independent_b32768.log
mldsa87,independent,Sign,32768,599.155,54690,decomp-pipeline,mldsa87_amd_independent_b32768.log
mldsa87,independent,Verify,8192,2.422,3382030,,mldsa87_amd_independent_b8192.log
mldsa87,paper,Keygen,32768,28.239,1160371,paper-shared-rhoA,mldsa87_amd_paper_b32768.log
mldsa87,paper,Sign,16384,356.069,46014,decomp-pipeline,mldsa87_amd_paper_b16384.log
mldsa87,paper,Verify,8192,2.454,3337606,,mldsa87_amd_paper_b8192.log
